symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
MEUSDT,2026-06-03 04:00:00+00:00,-1.685e-05,1.0625105,0.0
MEUSDT,2026-06-03 08:00:00+00:00,-1.685e-05,1.0374686,0.0
MEUSDT,2026-06-03 12:00:00+00:00,-1.685e-05,1.0034823,0.0
MEUSDT,2026-06-03 16:00:00+00:00,-1.685e-05,0.9691731,0.0
MEUSDT,2026-06-03 20:00:00+00:00,-1.685e-05,0.9407773,0.0
MEUSDT,2026-06-04 00:00:00+00:00,-1.685e-05,0.911708,0.0
MEUSDT,2026-06-04 04:00:00+00:00,-1.685e-05,0.86989564,0.0
MEUSDT,2026-06-04 08:00:00+00:00,-1.685e-05,0.8284425,0.0
MEUSDT,2026-06-04 12:00:00+00:00,-1.685e-05,0.7910953,0.0
MEUSDT,2026-06-04 16:00:00+00:00,-1.685e-05,0.75188816,0.0
MINAUSDT,2026-05-15 00:00:00+00:00,-9.15e-06,-0.4348991,8.021e-05
MINAUSDT,2026-05-15 04:00:00+00:00,-9.556e-05,-1.3901179,4.631e-05
MINAUSDT,2026-05-15 08:00:00+00:00,-9.556e-05,-1.3237504,4.631e-05
MINAUSDT,2026-05-15 12:00:00+00:00,-0.00013609,-1.6775724,4.021e-05
MINAUSDT,2026-05-15 16:00:00+00:00,-0.00013609,-1.5822421,4.021e-05
MINAUSDT,2026-05-15 20:00:00+00:00,-0.00022494,-2.3241596,-0.00021579
MINAUSDT,2026-05-16 00:00:00+00:00,-0.00022494,-2.141978,-0.00021579
MINAUSDT,2026-05-16 04:00:00+00:00,3.244e-05,0.3930335,0.000128
MINAUSDT,2026-05-16 08:00:00+00:00,3.244e-05,0.41376024,0.000128
MINAUSDT,2026-05-16 12:00:00+00:00,-0.00035485,-2.999041,-0.00021876
MINAUSDT,2026-05-16 16:00:00+00:00,-0.00035485,-2.6744952,-0.00021876
MINAUSDT,2026-05-16 20:00:00+00:00,-0.00011065,-0.6224647,0.00011429
MINAUSDT,2026-05-17 00:00:00+00:00,-0.00011065,-0.58751994,0.00011429
MINAUSDT,2026-05-17 04:00:00+00:00,-0.00015924,-0.950299,-0.00019168
MINAUSDT,2026-05-17 08:00:00+00:00,-0.00015924,-0.9062865,-0.00019168
MINAUSDT,2026-05-17 12:00:00+00:00,6.927e-05,1.0610299,0.00042412
MINAUSDT,2026-05-17 16:00:00+00:00,6.927e-05,1.0754658,0.00042412
MINAUSDT,2026-05-17 20:00:00+00:00,-7.707e-05,-0.16129403,3.358e-05
MINAUSDT,2026-05-18 00:00:00+00:00,-7.707e-05,-0.12700893,3.358e-05
MINAUSDT,2026-05-18 04:00:00+00:00,-0.00019671,-1.1613178,-3.747e-05
MINAUSDT,2026-05-18 08:00:00+00:00,-0.00019671,-1.1108888,-3.747e-05
MINAUSDT,2026-05-18 12:00:00+00:00,1.853e-05,0.79315674,-5.074e-05
MINAUSDT,2026-05-18 16:00:00+00:00,1.853e-05,0.79844457,-5.074e-05
MINAUSDT,2026-05-18 20:00:00+00:00,-1.719e-05,0.5070826,5.988e-05
MINAUSDT,2026-05-19 00:00:00+00:00,-1.719e-05,0.533675,5.988e-05
MINAUSDT,2026-05-19 04:00:00+00:00,-5.244e-05,0.20348138,0.00014427
MINAUSDT,2026-05-19 08:00:00+00:00,-5.244e-05,0.19520362,0.00014427
MINAUSDT,2026-05-19 12:00:00+00:00,-0.00021751,-1.251584,-0.00023604
MINAUSDT,2026-05-19 16:00:00+00:00,-0.00021751,-1.1912191,-0.00023604
MINAUSDT,2026-05-19 20:00:00+00:00,-0.00013586,-0.4235454,-0.00011867
MINAUSDT,2026-05-20 00:00:00+00:00,-0.00013586,-0.38973123,-0.00011867
MINAUSDT,2026-05-20 04:00:00+00:00,-0.00012319,-0.23982576,-7.075e-05
MINAUSDT,2026-05-20 08:00:00+00:00,-0.00012319,-0.20731694,-7.075e-05
MINAUSDT,2026-05-20 12:00:00+00:00,1e-04,1.9210339,0.00031751
MINAUSDT,2026-05-20 16:00:00+00:00,1e-04,1.884398,0.00031751
MINAUSDT,2026-05-20 20:00:00+00:00,-3.918e-05,0.5614111,9.668e-05
MINAUSDT,2026-05-21 00:00:00+00:00,-3.918e-05,0.5482287,9.668e-05
MINAUSDT,2026-05-21 04:00:00+00:00,8.151e-05,1.5818987,0.0002047
MINAUSDT,2026-05-21 08:00:00+00:00,8.151e-05,1.4948348,0.0002047
