era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,resid_ret_36h,r48,1579,167,2,-0.01815120843537152,-2.55428190127046,-0.012594155594446604,-1.8582148306943778,0.0030112325687750895,0.9041066807424767
rec,resid_ret_3d,r48,1579,167,2,-0.005797627919864631,-0.6214805307150955,-0.0011699906492830426,-0.1291049487862308,0.020741004102027536,4.110715323781926
rec,resid_ret_5d,r48,1579,167,2,-0.0035409224360253965,-0.3578618324408387,0.00032125358012583547,0.03333397326886916,0.01299099624997249,2.0017072629998287
rec,resid_ret_12h,r72,1567,167,3,-0.011657169420708697,-2.332249515407397,-0.00671108878031858,-1.386095600700871,0.004813635189501255,2.576936796453983
rec,resid_ret_24h,r72,1567,167,3,-0.008818865765787314,-1.2513357540088295,-0.0024172500132964565,-0.3533870567963901,0.009025136350734925,2.871187663913128
rec,resid_ret_36h,r72,1567,167,3,-0.004992356747559435,-0.5592894646697382,0.0011894174508364917,0.1361320028600061,0.0073013083145905345,2.1168287488922046
rec,resid_ret_3d,r72,1567,167,3,0.003960210728515079,0.38047915169789515,0.009261771352987813,0.904344647592571,0.021145564589195823,4.255137154732249
rec,resid_ret_5d,r72,1567,167,3,0.006358947654729988,0.5411835265942985,0.010636233925850358,0.9183727519705371,0.01380993061519334,1.8553405307186497
rec,resid_rev_2c,h4,1601,167,1,0.047319616162632645,13.231147456141652,0.04490533957066818,12.918394146973005,0.0009816946976636844,0.30446230048062084
rec,resid_rev_3c,h4,1601,167,1,0.04589794881692528,12.842314998192194,0.04310638432938993,12.415670298812973,0.0017640480463402316,0.5614599971568031
rec,resid_rev_6c,h4,1601,167,1,0.04521890012356799,12.064057527799115,0.041559576757834144,11.526119903715832,0.00030810820902825084,0.1356687947512063
rec,resid_rev_12c,h4,1601,167,1,0.03639284382289711,10.315420642585666,0.0330314340588201,9.824674088177126,0.00271841857310366,1.1786747194799037
rec,resid_rev_2c,h12,1597,167,1,0.04457119326148096,10.286577441169198,0.04156152118629317,9.83554579314587,-0.005493921432489281,-1.6068670679480324
rec,resid_rev_3c,h12,1597,167,1,0.046912069028334745,10.121189139298465,0.04326544437640166,9.57345814870145,-0.0047631143312193295,-1.3886330850459903
rec,resid_rev_6c,h12,1597,167,1,0.04961561170145991,9.530193731674137,0.0445418082668264,8.934631982039912,-0.004989091746096347,-1.6787308023379008
rec,resid_rev_12c,h12,1597,167,1,0.04124544671787504,8.205564151836612,0.03637976393012117,7.5941730333400175,0.005356594531084935,1.7860216828384277
rec,resid_rev_2c,h24,1591,167,1,0.039775689362462646,8.430904468088698,0.036049039457482716,7.908396606464145,-0.005761951145643155,-1.7599907072378391
